"ApplicationId","DisplayName","Publisher","Platform","Platform_loc","AppVersion","InstalledDeviceCount","FailedDeviceCount","PendingInstallDeviceCount","NotApplicableDeviceCount","NotInstalledDeviceCount","FailedDevicePercentage"
"34f45252-1ec6-4dce-b38b-263e55af344b","Chocolatey","Chocolatey","5","Windows","","0","0","0","0","0","0"
"26ba425a-6528-46e8-ab21-168f0a080314","Windows Admin Center","Microsoft","5","Windows","","0","0","0","0","0","0"
"295627c5-8130-4472-8d3b-902d9104e39e","iTunes (Winget Install)","Apple","5","Windows","","0","0","0","0","0","0"
"ca54e543-e96a-4700-919b-c7ad69c42adf","Remote Assistance App","Microsoft","5","Windows","","0","0","0","0","0","0"
"9b3387a5-2ee3-45b0-9c23-9e9675a2b322","macOS LAPS 3.0.4","Joshua D. Miller","3","MacOS","3.0.4","1","0","0","0","0","0"
"4d01d0ad-a3ab-4e39-8631-2ca0871f4533","SumatraPDF","SumatraPDF","5","Windows","","0","0","0","0","0","0"
"e8c33951-4b4a-4c08-bfaa-a5dbe7adfa6d","Microsoft Project 64-bit","Microsoft","5","Windows","","0","0","0","0","0","0"
"45be3309-da20-47dd-893f-a22e65ef6606","Action1 Agent","Action1","5","Windows","5.213.614.1","3","0","0","0","0","0"
"49a995e4-8ee0-48e9-a04d-ab84990d02cd","Foxit PDF Reader","Foxit","5","Windows","","0","0","0","0","0","0"
"9a17db51-e352-4afe-95bd-a32520addd76",".NET 3.5","Microsoft","5","Windows","","0","0","0","0","0","0"
"b57c4380-ccf1-487e-8294-3df666e81a3b","Microsoft Visio 64-bit","Microsoft","5","Windows","","0","0","0","0","0","0"
"d5e89b65-acf2-4850-ac66-179bb8bb542d","Apple Devices","Apple Inc.","5","Windows","","0","0","0","0","0","0"
"862f2701-165f-4f23-beb2-a1ae9102ac18","Git-2.45.2-64-bit.exe","Git","5","Windows","","3","0","0","0","0","0"
"5f0c5663-ab17-4e55-8b90-e611cb3760b6","Dell Command | Update","Dell","5","Windows","","0","0","0","0","0","0"
"ca9e9c8b-d75f-4be7-a07d-1d51a5383353","Installomator","MacAdmins","3","MacOS","10.6","1","0","0","0","0","0"
"091de8bd-3f61-4ae0-8c93-7d6723eec10a","Microsoft Remote Desktop","Microsoft","3","MacOS","","0","0","0","0","0","0"
"a4fbaea0-4118-4f30-bce1-466f07a805d0","Sysinternals Suite","Microsoft Corporation","5","Windows","","0","0","0","0","0","0"
"a2469b8e-211e-441d-9e6b-0857a6efc0c6","Remediate BitLocker","UN","5","Windows","","0","0","0","0","0","0"
"52ae2f0b-b2b3-42e6-ab50-b5369c79996a","WinGet-AutoUpdate-Configurator","Hauke Hasselberg","5","Windows","1.06.0036","3","1","0","0","0","25"
"d7d0f422-2f0c-41af-a40e-aabb5562497e","IntuneDebugTools","MSEndpointMgr","5","Windows","","0","0","0","0","0","0"
"83aa2af3-5f6e-4a94-a1e2-d96a2a161e79","Microsoft Edge","Microsoft","3","MacOS","","0","0","0","0","0","0"
"47d68a7a-520e-4a9d-b492-a669f768d247","Admin By Request v5.0","AdminByRequest","3","MacOS","5.0.0","1","0","0","0","0","0"
"f2cde6dd-eab9-4f0a-93d0-63eee3ce9603","Python 3.13","Python","5","Windows","","1","2","0","0","0","66.66666666666666666666666666666667"
"a5204f11-fe5b-4ac5-b379-945d79889188","Microsoft Intune Company Portal","Microsoft Corporation","2","iOS","","0","0","0","0","0","0"
"bcabd62f-96f9-468d-b80b-8fea3dae1e55","7-Zip 24.04 (x64 edition)","7-Zip","5","Windows","24.04.00.0","3","0","0","0","0","0"
"d180a779-fa16-43ed-bbfd-43fca24bffd9","PowerShell 7","Microsoft","5","Windows","","0","0","0","0","0","0"
"6ef619a9-1926-4f64-b746-c71888753610","GitHub CLI","GitHub","5","Windows","","0","0","0","0","0","0"
"07b03c36-adc3-4ac7-b32c-a3e799491a94","Microsoft Remote Desktop","Microsoft Corporation","5","Windows","","0","0","0","0","0","0"
"08460747-e188-40a7-8263-d02d1cc08853","Company Portal","Microsoft Corporation","5","Windows","11.2.1002.0","3","0","0","3","0","0"
"77fe37d0-edf2-43e9-bbde-395512a46ade","npp.8.6.2.Installer.x64.exe","Don","5","Windows","","0","0","0","0","0","0"
"f412e592-cbd3-4ad7-a606-e9e8b2f3b2b1","mp3tag","mp3tag","5","Windows","","0","0","0","0","0","0"
"8a3c11b4-c526-476a-9de2-ef57de2cef5e","Microsoft 365 Apps for macOS","Microsoft","3","MacOS","","0","0","0","0","0","0"
"b899b031-1e7d-402d-ab85-2cc96a1d5415","Microsoft 365 Enterprise x64","Microsoft","5","Windows","","0","0","0","0","0","0"
"bd862ce8-3339-4dba-aac6-a1fc259a9ffd","Node.js","OpenJS","5","Windows","","0","0","0","0","0","0"
"72ee7757-60df-4271-8ffa-c75902492518","Remote Utilities - Host","Remote Utilities","5","Windows","","0","0","0","0","0","0"
"6f35f941-eee5-4227-a671-ec3b1fdc117a","Visual Studio Code","Microsoft Corporation","5","Windows","","0","0","0","0","0","0"
